日期,小时,模型充电量(度),订单充电量(度),差异(模型-订单)(度)
20260623,17:00,223.7126,185.4431,38.2695
20260623,18:00,140.8724,116.2235,24.6489
20260623,19:00,111.9072,90.3646,21.5426
20260623,20:00,76.975,55.4981,21.4769
20260623,21:00,56.55,49.1286,7.4214
20260623,22:00,151.225,117.249,33.976
20260623,23:00,107.4,103.8937,3.5063
20260624,00:00,270.35,247.442,22.908
20260624,01:00,84.25,63.1083,21.1417
20260624,02:00,31.2167,23.6692,7.5475
20260624,03:00,107.0583,72.5178,34.5405
20260624,04:00,25.9917,28.3172,-2.3255
20260624,05:00,34.5561,24.695,9.8611
20260624,06:00,181.9025,156.6738,25.2287
20260624,07:00,176.676,191.321,-14.645
20260624,08:00,222.97,204.0435,18.9265
20260624,09:00,227.8013,197.4868,30.3145
20260624,10:00,158.8808,109.7725,49.1083
20260624,11:00,249.0971,214.5643,34.5328
20260624,12:00,363.4503,271.8196,91.6307
20260624,13:00,277.8509,243.864,33.9869
20260624,14:00,108.5524,72.5056,36.0468
20260624,15:00,134.9837,110.5537,24.43
20260624,16:00,196.6524,162.0699,34.5825
20260624,17:00,159.2507,118.6694,40.5813
20260624,18:00,62.0093,24.2219,37.7874
20260624,19:00,160.2973,121.8623,38.435
20260624,20:00,62.2167,48.8445,13.3722
20260624,21:00,39.2167,25.0413,14.1754
20260624,22:00,54.375,40.3104,14.0646
20260624,23:00,60.225,41.8853,18.3397
20260625,00:00,304.7917,271.5782,33.2135
20260625,01:00,56.5083,47.7024,8.8059
20260625,02:00,175.8917,117.97,57.9217
20260625,03:00,196.2583,197.8836,-1.6253
20260625,04:00,100.1167,88.7981,11.3186
20260625,05:00,31.5606,18.7493,12.8113
20260625,06:00,214.6238,184.3487,30.2751
20260625,07:00,231.8212,230.6391,1.1821
20260625,08:00,271.7132,261.476,10.2372
20260625,09:00,294.2497,274.2709,19.9788
20260625,10:00,302.5294,254.5473,47.9821
20260625,11:00,274.9662,232.5509,42.4153
20260625,12:00,407.6935,303.9555,103.738
20260625,13:00,279.7944,246.2368,33.5576
20260625,14:00,84.7207,69.1648,15.5559
20260625,15:00,122.3458,99.5688,22.777
20260625,16:00,119.544,88.4369,31.1071
20260625,17:00,89.9384,54.5308,35.4076
20260625,18:00,48.3948,20.1428,28.252
20260625,19:00,160.2196,124.6403,35.5793
20260625,20:00,140.6583,109.47,31.1883
20260625,21:00,76.05,60.977,15.073
20260625,22:00,7.975,0.0,7.975
20260625,23:00,7.375,0.6021,6.7729
20260626,00:00,281.1417,253.2097,27.932
20260626,01:00,137.65,121.0539,16.5961
20260626,02:00,118.0167,110.6994,7.3173
20260626,03:00,94.7833,72.3734,22.4099
20260626,04:00,62.8417,62.3525,0.4892
20260626,05:00,105.1168,88.3928,16.724
20260626,06:00,207.4837,174.234,33.2497
20260626,07:00,275.7005,275.7668,-0.0663
20260626,08:00,171.9227,174.2189,-2.2962
20260626,09:00,281.8893,231.3455,50.5438
